tburn_s,thrust_N,empty_rocket_mass_kg,motor_dry_mass_without_tank_kg,apogee_altitude_AGL_m,rail_exit_velocity_mps
9.3,4000,22.6666666666667,25,8143.61868097337,30.041717223741
9.3,4000,25,15,9122.13803000433,32.3656269464822
9.3,4000,25,18.3333333333333,8676.18012737213,31.1995732145984
9.3,4000,25,21.6666666666667,8260.8229756786,30.3067250352967
9.3,4000,25,25,7875.31400345045,29.4567793220942
10.2,3000,18,15,8355.14386934262,30.4294717381656
10.2,3000,18,18.3333333333333,7935.17342271183,29.3015775694141
10.2,3000,18,21.6666666666667,7544.40161488021,28.3316397499078
10.2,3000,18,25,7184.78367989636,27.3263202052426
10.2,3000,20.3333333333333,15,8056.42191719998,29.6352963206999
10.2,3000,20.3333333333333,18.3333333333333,7656.85239940987,28.5764008230524
10.2,3000,20.3333333333333,21.6666666666667,7287.68925870966,27.7561664464679
10.2,3000,20.3333333333333,25,6949.61701314097,26.8155083361761
10.2,3000,22.6666666666667,15,7771.75134550773,28.8769289742297
10.2,3000,22.6666666666667,18.3333333333333,7393.30806779672,27.8860407763143
10.2,3000,22.6666666666667,21.6666666666667,7045.98791448689,27.1132371849856
10.2,3000,22.6666666666667,25,6724.99128884825,26.1056365167759
10.2,3000,25,15,7502.36809893373,28.2331556170444
10.2,3000,25,18.3333333333333,7145.1716182082,27.2880955926477
10.2,3000,25,21.6666666666667,6819.5028551685,26.345854028255
10.2,3000,25,25,6484.25293034553,25.5337454929975
10.2,3200,18,15,8903.83628200273,31.1939512226598
10.2,3200,18,18.3333333333333,8452.4048149505,30.0556268874454
10.2,3200,18,21.6666666666667,8031.38449207362,29.0294260391144
10.2,3200,18,25,7640.74618180768,28.1163489123126
10.2,3200,20.3333333333333,15,8582.85299855161,30.3863501387262
10.2,3200,20.3333333333333,18.3333333333333,8152.66210670172,29.3290714530192
10.2,3200,20.3333333333333,21.6666666666667,7752.68841994045,28.3629973490131
10.2,3200,20.3333333333333,25,7383.44671950016,27.4607650973186
10.2,3200,22.6666666666667,15,8277.14482581869,29.6432835638074
10.2,3200,22.6666666666667,18.3333333333333,7868.15359835612,28.6460153824137
10.2,3200,22.6666666666667,21.6666666666667,7489.33557598425,27.7276204346689
10.2,3200,22.6666666666667,25,7141.84291200679,27.0318366341094
10.2,3200,25,15,7986.12679434252,28.9301883572142
10.2,3200,25,18.3333333333333,7598.20508038116,27.9891325456089
10.2,3200,25,21.6666666666667,7241.51020468503,27.2395910430584
10.2,3200,25,25,6915.00931404385,26.2937267385901
10.2,3400,18,15,9470.53248773333,31.9102650996651
10.2,3400,18,18.3333333333333,8987.47244899759,30.766733088867
10.2,3400,18,21.6666666666667,8536.24814529935,29.7525256155859
10.2,3400,18,25,8116.2745363856,28.7951219476026
10.2,3400,20.3333333333333,15,9127.3927274024,31.0817939990999
10.2,3400,20.3333333333333,18.3333333333333,8666.39285960579,30.0374460555204
10.2,3400,20.3333333333333,21.6666666666667,8237.05606391904,29.0709255862633
10.2,3400,20.3333333333333,25,7838.86792369126,28.2535971367397
10.2,3400,22.6666666666667,15,8799.756380389,30.3484577643897
10.2,3400,22.6666666666667,18.3333333333333,8360.98918298699,29.3533510330657
10.2,3400,22.6666666666667,21.6666666666667,7953.32993964866,28.4424786546946
10.2,3400,22.6666666666667,25,7576.03016730408,27.5789624467648
10.2,3400,25,15,8487.8504001966,29.6503334250723
10.2,3400,25,18.3333333333333,8070.95068286382,28.7080013423614
10.2,3400,25,21.6666666666667,7684.65380120528,27.8376877708773
10.2,3400,25,25,7329.18804724463,27.1946946157111
10.2,3600,18,15,10055.2253326917,32.645965046582
10.2,3600,18,18.3333333333333,9539.08247942643,31.4194059409608
